Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m)
5.25,-0.009819041937589645,-10.904141426086426,-4.963662624359131,-0.5007675886154175,0.032999999821186066
5.260000228881836,-0.21244443953037262,-10.769998550415039,-4.5385308265686035,-0.47709110379219055,0.02980000153183937
5.269999980926514,-0.4412376880645752,-10.38881778717041,-5.273122787475586,-0.43920865654945374,0.026399999856948853
5.28000020980835,0.16132031381130219,-10.196578979492188,-4.885015964508057,-0.39657288789749146,0.02280000038444996
5.289999961853027,-0.04722455143928528,-9.960358619689941,-4.536988735198975,-0.3445115089416504,0.01899999938905239
5.300000190734863,-0.05526353791356087,-9.723682403564453,-4.8197340965271,-0.3066290616989136,0.015000000596046448
5.309999942779541,-0.029033951461315155,-9.30583667755127,-4.945414066314697,-0.26396629214286804,0.01099999900907278
5.320000171661377,-0.1265992373228073,-9.100361824035645,-4.682554244995117,-0.21193194389343262,0.007000000216066837
5.329999923706055,-0.08873873203992844,-8.760102272033691,-5.048725605010986,-0.1597895622253418,0.003000000026077032
5.340000152587891,0.3736102879047394,-8.48622989654541,-4.8642191886901855,-0.11723481118679047,-0.0009999996982514858
5.349999904632568,-0.4556237459182739,-8.280138969421387,-5.285800933837891,-0.06507442891597748,-0.004999999422580004
5.360000133514404,0.0924653485417366,-8.123553276062012,-4.9514994621276855,-0.02253769338130951,-0.009000000543892384
5.369999885559082,0.040173087269067764,-7.7481231689453125,-4.8884968757629395,0.02964070253074169,-0.012999999336898327
5.380000114440918,-0.14828574657440186,-7.72709321975708,-4.0089335441589355,0.08646437525749207,-0.017000000923871994
5.389999866485596,0.10336463153362274,-7.315683364868164,-5.540680885314941,0.12897410988807678,-0.020999999716877937
5.400000095367432,0.022092241793870926,-7.262827396392822,-4.377339839935303,0.17631816864013672,-0.024799998849630356
5.409999847412109,-0.2208012193441391,-6.609184741973877,-5.394482612609863,0.21907095611095428,-0.0284000001847744
5.420000076293945,0.04451726749539375,-6.703812122344971,-4.728602886199951,0.26155367493629456,-0.03179999813437462
5.429999828338623,0.45105984807014465,-6.479318141937256,-4.493767261505127,0.29943612217903137,-0.03500000387430191
5.440000057220459,-0.1386760026216507,-6.271176815032959,-4.844686985015869,0.3373185992240906,-0.03779999911785126
5.449999809265137,0.016561446711421013,-5.9807538986206055,-5.115909099578857,0.3657394349575043,-0.040400002151727676
5.460000038146973,0.03405696898698807,-5.939291000366211,-4.997797966003418,0.4130834937095642,-0.0430000014603138
5.46999979019165,0.08078871667385101,-5.833547115325928,-4.635849952697754,0.43657997250556946,-0.04520000144839287
5.480000019073486,-0.09606893360614777,-5.643693447113037,-4.85351037979126,0.4699161648750305,-0.047200001776218414
5.489999771118164,0.09045106172561646,-5.762660026550293,-4.447113990783691,0.4933946430683136,-0.049000002443790436
5.5,-0.03156042471528053,-5.306610584259033,-5.191271781921387,0.5073844790458679,-0.050599999725818634
5.510000228881836,-0.03374164551496506,-5.3750176429748535,-4.724787712097168,0.5218064785003662,-0.05159999802708626
5.519999980926514,0.08112026005983353,-5.356307506561279,-4.742796897888184,0.5407477021217346,-0.052400000393390656
5.53000020980835,0.03416673094034195,-5.335437774658203,-4.888186454772949,0.5452489256858826,-0.052799999713897705
5.539999961853027,-0.1053837314248085,-5.357626438140869,-4.715662479400635,0.5502362847328186,-0.05299999564886093
5.550000190734863,-0.041952118277549744,-5.400039196014404,-4.702008247375488,0.5641811490058899,-0.052799999713897705
5.559999942779541,0.0230548232793808,-5.527335166931152,-5.0416154861450195,0.5641811490058899,-0.052400000393390656
5.570000171661377,0.04626178741455078,-5.595379829406738,-4.814667701721191,0.5547195672988892,-0.05180000141263008
5.579999923706055,-0.028274867683649063,-5.5951409339904785,-4.631350994110107,0.549696147441864,-0.05080000311136246
5.590000152587891,-0.08354403078556061,-5.754998683929443,-4.912867546081543,0.5402165651321411,-0.049400001764297485
5.599999904632568,-0.029278596863150597,-5.926827907562256,-4.517672061920166,0.5263167023658752,-0.04779999703168869
5.610000133514404,-0.04154284670948982,-5.83565092086792,-4.804345607757568,0.5212662816047668,-0.04600000008940697
5.619999885559082,-0.17771171033382416,-6.10490083694458,-5.228639602661133,0.4928634762763977,-0.043800000101327896
5.630000114440918,-0.1342220902442932,-6.101217746734619,-5.057897090911865,0.4739222824573517,-0.0414000004529953
5.639999866485596,-0.08840946853160858,-6.385974884033203,-4.324225902557373,0.4499036371707916,-0.03880000114440918
5.650000095367432,0.015518835745751858,-6.39069128036499,-4.9782023429870605,0.41710758209228516,-0.036000002175569534
5.659999847412109,0.4157235324382782,-6.465535640716553,-5.149694442749023,0.3836093544960022,-0.032999999821186066
5.670000076293945,-0.1508396565914154,-7.098121166229248,-4.821343898773193,0.3551885187625885,-0.02980000153183937
5.679999828338623,0.002655554562807083,-7.036404132843018,-4.884174346923828,0.3173060715198517,-0.026599999517202377
