Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
22.69499969482422,0.012895505875349045,-10.07473087310791,0.03540360927581787,-0.07264691591262817
22.700000762939453,0.016161255538463593,-9.93126106262207,0.036527860909700394,-0.048985108733177185
22.704999923706055,0.01892022229731083,-9.871769905090332,0.028139933943748474,-0.03267957270145416
22.709999084472656,0.009215117432177067,-9.739982604980469,0.03203165903687477,-0.020593730732798576
22.71500015258789,0.029126033186912537,-9.675620079040527,0.013702254742383957,0.0009466370102018118
22.719999313354492,-0.00013906382082495838,-9.584169387817383,0.01890752837061882,0.017256809398531914
22.725000381469727,0.017354004085063934,-9.502415657043457,0.005657526198774576,0.024112457409501076
22.729999542236328,0.004146717954427004,-9.392048835754395,0.001326759927906096,0.043049316853284836
22.735000610351562,0.027236729860305786,-9.326667785644531,-0.008254216983914375,0.06244044005870819
22.739999771118164,0.027511194348335266,-9.256876945495605,-0.006200582720339298,0.07403493672609329
22.7450008392334,0.01116813626140356,-9.184027671813965,-0.005600875709205866,0.09296252578496933
22.75,0.012385588139295578,-9.078225135803223,0.016993874683976173,0.10457556694746017
22.7549991607666,0.02125200629234314,-9.016948699951172,-0.01736990548670292,0.12608812749385834
22.760000228881836,0.02172369323670864,-8.952136993408203,0.01323497761040926,0.13554728031158447
22.764999389648438,0.011184017173945904,-8.860213279724121,-0.00599935557693243,0.1450064331293106
22.770000457763672,0.00919884629547596,-8.77712345123291,-0.005900729447603226,0.1540762186050415
22.774999618530273,0.026462344452738762,-8.700090408325195,0.01667930744588375,0.15446558594703674
22.780000686645508,0.02212696149945259,-8.649267196655273,0.014166748151183128,0.16865897178649902
22.78499984741211,0.02045821025967598,-8.571443557739258,0.008458605967462063,0.18503868579864502
22.790000915527344,0.038271818310022354,-8.519572257995605,0.00824266392737627,0.19705034792423248
22.795000076293945,0.024257011711597443,-8.444217681884766,0.02779792621731758,0.2087051123380661
22.799999237060547,0.010746636427938938,-8.367308616638184,0.05664306506514549,0.21597330272197723
22.80500030517578,0.03015606291592121,-8.301960945129395,0.028620731085538864,0.23016668856143951
22.809999465942383,0.015057707205414772,-8.273359298706055,0.040755629539489746,0.23710113763809204
22.815000534057617,0.03340965509414673,-8.207684516906738,0.05060066655278206,0.253823846578598
22.81999969482422,0.02795916236937046,-8.164451599121094,0.06108040735125542,0.26328298449516296
22.825000762939453,0.0591723769903183,-8.077720642089844,0.055914707481861115,0.27969977259635925
22.829999923706055,0.03759270906448364,-8.06358528137207,0.09109612554311752,0.2844339907169342
22.834999084472656,0.03887936472892761,-7.972111701965332,0.07670198380947113,0.2964039444923401
22.84000015258789,0.02983846887946129,-7.972817420959473,0.053450264036655426,0.30336621403694153
22.844999313354492,0.03678441047668457,-7.900443077087402,0.0909959003329277,0.30585846304893494
22.850000381469727,0.031211186200380325,-7.8543009757995605,0.05475307255983353,0.3175642192363739
22.854999542236328,0.04220942035317421,-7.842282295227051,0.10425744205713272,0.32951563596725464
22.860000610351562,0.0378885455429554,-7.8322062492370605,0.09011305123567581,0.3317622244358063
22.864999771118164,0.03296463191509247,-7.7665581703186035,0.0882626324892044,0.33176225423812866
22.8700008392334,0.02496238984167576,-7.769676208496094,0.05925405025482178,0.3364964425563812
22.875,0.04359586536884308,-7.738530158996582,0.07358137518167496,0.3364964425563812
22.8799991607666,0.035623420029878616,-7.729921340942383,0.08270183205604553,0.3412306606769562
22.885000228881836,0.025695016607642174,-7.700439453125,0.06586015969514847,0.34842002391815186
22.889999389648438,0.026287468150258064,-7.648337364196777,0.049384552985429764,0.35542866587638855
22.895000457763672,0.040435779839754105,-7.656259059906006,0.0724889412522316,0.34824854135513306
22.899999618530273,0.042029645293951035,-7.681792736053467,0.08624876290559769,0.3578745722770691
22.905000686645508,0.03467455133795738,-7.650543689727783,0.06348917633295059,0.36259952187538147
22.90999984741211,0.03463338315486908,-7.691990852355957,0.041354138404130936,0.3624604642391205
22.915000915527344,0.012024469673633575,-7.682197093963623,0.02514597587287426,0.3601628839969635
22.920000076293945,0.003355667693540454,-7.7123308181762695,0.04319322481751442,0.3601628839969635
22.924999237060547,0.00904200877994299,-7.724979877471924,0.0215201023966074,0.3601628839969635
22.93000030517578,0.011920368298888206,-7.736233711242676,0.02137574553489685,0.3601628541946411
22.934999465942383,0.01831522211432457,-7.743621826171875,0.01648504100739956,0.3601628541946411
22.940000534057617,0.024354251101613045,-7.77192497253418,0.004511205013841391,0.3530244827270508
22.94499969482422,0.006597303785383701,-7.791591167449951,0.005784387234598398,0.3506990969181061
22.950000762939453,0.013530697673559189,-7.819825649261475,-0.004554572515189648,0.3388913869857788
22.954999923706055,-0.0006446692277677357,-7.8321614265441895,0.019535865634679794,0.34356996417045593
22.959999084472656,0.016516882926225662,-7.887188911437988,0.011868538334965706,0.3364964425563812
22.96500015258789,-0.0035140118561685085,-7.918218612670898,-0.016842179000377655,0.32938122749328613
22.969999313354492,0.01190311647951603,-7.9659929275512695,0.0014444735134020448,0.32229843735694885
22.975000381469727,0.015666039660573006,-8.033060073852539,0.0013001152547076344,0.3104582726955414
22.979999542236328,-0.0021710896398872137,-8.079816818237305,0.0035426493268460035,0.30336621403694153
22.985000610351562,0.025402123108506203,-8.117167472839355,0.02246738411486149,0.30336621403694153
22.989999771118164,0.014890086837112904,-8.160754203796387,0.010637909173965454,0.2938977777957916
22.9950008392334,0.010860538110136986,-8.195902824401855,0.022543342784047127,0.28681033849716187
23,0.02150588668882847,-8.26930046081543,0.00550183467566967,0.2749655544757843
23.0049991607666,0.016525117680430412,-8.341341018676758,0.015536964870989323,0.27262163162231445
23.010000228881836,0.01534922793507576,-8.358373641967773,0.02948211506009102,0.26076754927635193
23.014999389648438,0.02183995023369789,-8.465231895446777,0.04432900995016098,0.25843289494514465
23.020000457763672,0.012202676385641098,-8.52229118347168,0.05435499548912048,0.23477111756801605
23.024999618530273,0.03365373983979225,-8.586495399475098,0.04986237362027168,0.21343469619750977
23.030000686645508,0.016131848096847534,-8.644286155700684,0.0364246629178524,0.21111394464969635
23.03499984741211,0.06023828685283661,-8.728971481323242,0.06795375794172287,0.20165477693080902
23.040000915527344,0.05437295138835907,-8.812735557556152,0.05810394883155823,0.18503868579864502
23.045000076293945,0.028943317010998726,-8.894743919372559,0.07171107083559036,0.1779976189136505
23.049999237060547,0.0511028915643692,-8.971954345703125,0.08225205540657043,0.16380424797534943
23.05500030517578,0.048481352627277374,-9.036173820495605,0.07259233295917511,0.14947180449962616
23.059999465942383,0.057258762419223785,-9.11619758605957,0.09971828758716583,0.1448766440153122
23.065000534057617,0.05223016068339348,-9.180740356445312,0.06335634738206863,0.1306832730770111
23.06999969482422,0.06371655315160751,-9.267524719238281,0.08292831480503082,0.12595832347869873
23.075000762939453,0.05284574627876282,-9.363481521606445,0.09564044326543808,0.11404399573802948
23.079999923706055,0.04658283293247223,-9.421874046325684,0.08834455162286758,0.09756694734096527
23.084999084472656,0.03678441047668457,-9.50477123260498,0.0951664075255394,0.07863936573266983
23.09000015258789,0.05902044102549553,-9.606863975524902,0.08930933475494385,0.06444599479436874
23.094999313354492,0.05576527863740921,-9.706070899963379,0.10397110134363174,0.040784187614917755
23.100000381469727,0.05959407612681389,-9.774957656860352,0.09353908896446228,0.02884667180478573
23.104999542236328,0.04249486327171326,-9.870259284973145,0.10485833883285522,0.021861232817173004
23.110000610351562,0.035850442945957184,-9.928762435913086,0.064239002764225,0.0029336477164179087
23.114999771118164,0.03730648383498192,-10.070931434631348,0.06869683414697647,-0.015993939712643623
23.1200008392334,0.03905404731631279,-10.194494247436523,0.09007507562637329,-0.03492152690887451
23.125,0.04159441962838173,-10.26905632019043,0.059877216815948486,-0.044380683451890945
23.1299991607666,0.03347768634557724,-10.343626022338867,0.052728474140167236,-0.06330827623605728
23.135000228881836,0.029797101393342018,-10.420764923095703,0.060793083161115646,-0.08001244813203812
23.139999389648438,0.02623806521296501,-10.477840423583984,0.06551676243543625,-0.09169965237379074
23.145000457763672,0.03522583469748497,-10.557668685913086,0.04463979974389076,-0.10841310024261475
23.149999618530273,0.014618169516324997,-10.639724731445312,0.05405494198203087,-0.12230055034160614
23.155000686645508,0.005151261109858751,-10.714456558227539,0.048894014209508896,-0.13901399075984955
23.15999984741211,0.028093062341213226,-10.79836368560791,0.010606691241264343,-0.15794157981872559
23.165000915527344,0.022641977295279503,-10.880868911743164,0.023284027352929115,-0.17467357218265533
23.170000076293945,0.013981018215417862,-10.938361167907715,0.01597302407026291,-0.17467358708381653
23.174999237060547,0.00755009101703763,-11.00501823425293,0.008914151228964329,-0.18632832169532776
23.18000030517578,0.024393655359745026,-11.07662582397461,0.030201321467757225,-0.2052559107542038
23.184999465942383,0.027523349970579147,-11.1433687210083,0.021913811564445496,-0.21944928169250488
23.190000534057617,0.031042782589793205,-11.199740409851074,0.012714210897684097,-0.23364263772964478
23.19499969482422,0.021548625081777573,-11.244954109191895,-0.03090444579720497,-0.24093401432037354
23.200000762939453,0.030507968738675117,-11.329257011413574,-0.003490970004349947,-0.25040245056152344
23.204999923706055,0.011847635731101036,-11.387106895446777,-0.008337730541825294,-0.26202940940856934
23.209999084472656,0.0266581941395998,-11.446999549865723,0.032994646579027176,-0.2809569835662842
23.21500015258789,0.03392487019300461,-11.473423957824707,0.03453705832362175,-0.2904161214828491
23.219999313354492,0.015458427369594574,-11.587891578674316,0.047374263405799866,-0.3071991205215454
