Time (s),Voltage (mV),Voltage (V)
22.40999984741211,0.12480379641056061,1.259560465812683
22.420000076293945,0.1248038038611412,1.2531136274337769
22.43000030517578,0.12480379641056061,1.259560465812683
22.440000534057617,0.12454211711883545,1.2531136274337769
22.450000762939453,0.12454212456941605,1.2531136274337769
22.459999084472656,0.12454212456941605,1.2531136274337769
22.469999313354492,0.12493086606264114,1.259560465812683
22.479999542236328,0.125065416097641,1.259560465812683
22.489999771118164,0.125065416097641,1.2579487562179565
22.5,0.125065416097641,1.259560465812683
22.510000228881836,0.124676913022995,1.2571429014205933
22.520000457763672,0.12454212456941605,1.25633704662323
22.530000686645508,0.12454212456941605,1.259560465812683
22.540000915527344,0.1439327597618103,1.5819047689437866
22.549999237060547,0.15436099469661713,1.5810989141464233
22.559999465942383,0.15463106334209442,1.5819047689437866
22.56999969482422,0.1547662615776062,1.5778754949569702
22.579999923706055,0.1547575294971466,1.5810989141464233
22.59000015258789,0.1548927277326584,1.5810989141464233
22.600000381469727,0.1548927277326584,1.5810989141464233
22.610000610351562,0.15450483560562134,1.5810989141464233
22.6200008392334,0.1546311229467392,1.5722345113754272
22.6299991607666,0.15475723147392273,1.5810989141464233
22.639999389648438,0.1548927277326584,1.5819047689437866
22.649999618530273,0.1548927277326584,1.5819047689437866
22.65999984741211,0.1548927277326584,1.5794872045516968
22.670000076293945,0.1548927277326584,1.5690109729766846
22.68000030517578,0.1548927277326584,1.5810989141464233
22.690000534057617,0.1548927277326584,1.5819047689437866
22.700000762939453,0.15463106334209442,1.5819047689437866
22.709999084472656,0.1548927277326584,1.58029305934906
22.719999313354492,0.15450549125671387,1.5819047689437866
22.729999542236328,0.15475662052631378,1.5819047689437866
22.739999771118164,0.15476728975772858,1.5819047689437866
22.75,0.15475650131702423,1.5810989141464233
22.760000228881836,0.15463104844093323,1.5786813497543335
22.770000457763672,0.1548927277326584,1.577069640159607
22.780000686645508,0.1548927277326584,1.5810989141464233
22.790000915527344,0.1548927277326584,1.5819047689437866
22.799999237060547,0.1548927277326584,1.5819047689437866
22.809999465942383,0.1548927277326584,1.5730403661727905
22.81999969482422,0.1548927277326584,1.5810989141464233
22.829999923706055,0.1548927277326584,1.5819047689437866
22.84000015258789,0.15450620651245117,1.5794872045516968
22.850000381469727,0.15449422597885132,1.577069640159607
