Time (s),Bz (µT),Voltage (mV)
5.949999809265137,-302.8568420410156,0.08160945773124695
5.960000038146973,-323.8089904785156,0.09270281344652176
5.96999979019165,-347.3418273925781,0.10394681245088577
5.980000019073486,-374.03814697265625,0.11434444785118103
5.989999771118164,-401.82110595703125,0.12279633432626724
6,-431.16796875,0.12987641990184784
6.010000228881836,-464.3827209472656,0.13673308491706848
6.019999980926514,-499.5200500488281,0.1452367901802063
6.03000020980835,-533.4344482421875,0.1564112901687622
6.039999961853027,-568.8473510742188,0.1711016297340393
6.050000190734863,-606.2001342773438,0.1886831820011139
6.059999942779541,-645.2437133789062,0.20782910287380219
6.070000171661377,-686.7225341796875,0.22624531388282776
6.079999923706055,-732.4192504882812,0.24236418306827545
6.090000152587891,-781.822509765625,0.2561452090740204
6.099999904632568,-833.4888916015625,0.26956623792648315
6.110000133514404,-886.9664916992188,0.28529202938079834
6.119999885559082,-941.4303588867188,0.30509135127067566
6.130000114440918,-994.9229736328125,0.3288326859474182
6.139999866485596,-1052.8643798828125,0.35180529952049255
6.150000095367432,-1112.472900390625,0.3657139837741852
6.159999847412109,-1173.8858642578125,0.35965362191200256
6.170000076293945,-1237.4302978515625,0.3265526294708252
6.179999828338623,-1302.0361328125,0.2664113938808441
6.190000057220459,-1357.6346435546875,0.1900332123041153
6.199999809265137,-1404.3572998046875,0.11401254683732986
6.210000038146973,-1441.2620849609375,0.05117480084300041
6.21999979019165,-1467.2501220703125,0.001380964065901935
6.230000019073486,-1477.28515625,-0.04725530743598938
6.239999771118164,-1479.412841796875,-0.10881061851978302
6.25,-1473.451171875,-0.18543513119220734
6.260000228881836,-1458.6505126953125,-0.26623114943504333
6.269999980926514,-1432.4432373046875,-0.3349115252494812
6.28000020980835,-1388.863525390625,-0.38088154792785645
6.289999961853027,-1333.2962646484375,-0.4012030065059662
6.300000190734863,-1269.1336669921875,-0.3985128402709961
6.309999942779541,-1199.8267822265625,-0.38053375482559204
6.320000171661377,-1128.33740234375,-0.3580405116081238
6.329999923706055,-1056.9189453125,-0.3375588655471802
6.340000152587891,-987.9832763671875,-0.3199167847633362
6.349999904632568,-921.5375366210938,-0.3021121621131897
6.360000133514404,-856.7921752929688,-0.282350093126297
6.369999885559082,-794.3427734375,-0.2598259150981903
6.380000114440918,-734.4033203125,-0.23418116569519043
6.389999866485596,-676.9950561523438,-0.207010418176651
6.400000095367432,-623.1173706054688,-0.18081243336200714
6.409999847412109,-574.9326171875,-0.15783432126045227
6.420000076293945,-533.4907836914062,-0.13888634741306305
6.429999828338623,-495.2270812988281,-0.12344449758529663
6.440000057220459,-460.8011474609375,-0.11098473519086838
6.449999809265137,-430.3536682128906,-0.10082213580608368
6.460000038146973,-402.90240478515625,-0.09228461235761642
6.46999979019165,-376.1896667480469,-0.08522407710552216
6.480000019073486,-351.7311096191406,-0.07919813692569733
6.489999771118164,-328.9424743652344,-0.0742991641163826
6.5,-306.8741455078125,-0.06976184993982315
6.510000228881836,-285.6429748535156,-0.06517042219638824
6.519999980926514,-265.62542724609375,-0.06035018712282181
6.53000020980835,-246.78871154785156,-0.0553436316549778
6.539999961853027,-229.0274200439453,-0.05045729875564575
6.550000190734863,-212.1072235107422,-0.045734334737062454
6.559999942779541,-194.85690307617188,-0.0415351577103138
6.570000171661377,-180.77838134765625,-0.037805140018463135
6.579999923706055,-168.38182067871094,-0.03447902575135231
6.590000152587891,-156.9314727783203,-0.03162190318107605
6.599999904632568,-146.81349182128906,-0.029059097170829773
6.610000133514404,-136.69552612304688,-0.02667088992893696
6.619999885559082,-127.28695678710938,-0.024402232840657234
6.630000114440918,-118.8594970703125,-0.022298945114016533
6.639999866485596,-111.47454071044922,-0.020498620346188545
6.650000095367432,-104.6739273071289,-0.018689565360546112
6.659999847412109,-98.57816314697266,-0.017174329608678818
6.670000076293945,-93.37721252441406,-0.01588914543390274
6.679999828338623,-88.68128204345703,-0.014897612854838371
6.690000057220459,-83.87802124023438,-0.01396943163126707
6.699999809265137,-79.23371124267578,-0.012922358699142933
6.710000038146973,-75.10186004638672,-0.011875288560986519
6.71999979019165,-71.53820037841797,-0.01093995850533247
6.730000019073486,-68.17354583740234,-0.010241910815238953
6.739999771118164,-64.1097640991211,-0.00954386219382286
6.75,-62.76504135131836,-0.008845815435051918
6.760000228881836,-60.42601776123047,-0.008203971199691296
6.769999980926514,-57.88859176635742,-0.00773672154173255
6.78000020980835,-55.79706573486328,-0.007387697696685791
6.789999961853027,-54.055442810058594,-0.00703867431730032
6.800000190734863,-52.681556701660156,-0.006689650006592274
6.809999942779541,-51.61064147949219,-0.0063972449861466885
6.820000171661377,-50.207637786865234,-0.006279435008764267
6.829999923706055,-47.98990249633789,-0.006279435008764267
6.840000152587891,-46.994693756103516,-0.006222567055374384
6.849999904632568,-45.999481201171875,-0.006048054900020361
6.860000133514404,-44.95948791503906,-0.005759474355727434
6.869999885559082,-43.92622375488281,-0.005350172985345125
6.880000114440918,-43.0158576965332,-0.0051184603944420815
6.889999866485596,-43.67932891845703,-0.004884005058556795
6.900000095367432,-42.157798767089844,-0.004826637916266918
6.909999847412109,-40.37260437011719,-0.0047095762565732
6.920000076293945,-39.48377227783203,-0.0047095762565732
6.929999828338623,-39.732574462890625,-0.0047095762565732
6.940000057220459,-39.368507385253906,-0.0047095762565732
6.949999809265137,-39.062374114990234,-0.0047095762565732
6.960000038146973,-38.71778869628906,-0.0047095762565732
6.96999979019165,-38.210594177246094,-0.004651627037674189
6.980000019073486,-37.63005447387695,-0.004477115347981453
6.989999771118164,-37.11969757080078,-0.004302603658288717
7,-37.291893005371094,-0.0041862898506224155
7.010000228881836,-37.649330139160156,-0.0041862898506224155
7.019999980926514,-37.29545593261719,-0.0041862898506224155
7.03000020980835,-36.383174896240234,-0.0041862898506224155
7.039999961853027,-35.725929260253906,-0.0041862898506224155
7.050000190734863,-35.26963806152344,-0.0041276756674051285
7.059999942779541,-35.033287048339844,-0.003953163977712393
7.070000171661377,-35.1162223815918,-0.0038374324794858694
7.079999923706055,-35.75685119628906,-0.003778568934649229
7.090000152587891,-35.44569778442383,-0.0036630036775022745
7.099999904632568,-35.18916320800781,-0.0036039738915860653
7.110000133514404,-35.57853317260742,-0.0035476877819746733
7.119999885559082,-35.827335357666016,-0.0035446116235107183
7.130000114440918,-35.70991134643555,-0.003254866925999522
7.139999866485596,-35.59495162963867,-0.0030209929682314396
7.150000095367432,-35.711971282958984,-0.0027908599004149437
7.159999847412109,-36.1224250793457,-0.0027313311584293842
7.170000076293945,-35.45895004272461,-0.002616430865600705
