Time (s),ωy (rad/s),Voltage (mV)
68.20999908447266,-8.857999801635742,0.0035980043467134237
68.22000122070312,-8.932796478271484,-0.0010838385205715895
68.2300033569336,-8.994550704956055,-0.003724478418007493
68.23999786376953,-9.055800437927246,-0.00787304062396288
68.25,-9.118098258972168,-0.009492471814155579
68.26000213623047,-9.179924964904785,-0.014271149411797523
68.2699966430664,-9.238020896911621,-0.023059029132127762
68.27999877929688,-9.293198585510254,-0.02525917813181877
68.29000091552734,-9.344863891601562,-0.033644527196884155
68.30000305175781,-9.394271850585938,-0.04249780997633934
68.30999755859375,-9.44661808013916,-0.04879908263683319
68.31999969482422,-9.498061180114746,-0.05614785850048065
68.33000183105469,-9.545309066772461,-0.06454412639141083
68.33999633789062,-9.588361740112305,-0.07387539744377136
68.3499984741211,-9.627052307128906,-0.07849293202161789
68.36000061035156,-9.673416137695312,-0.07853568345308304
68.37000274658203,-9.713021278381348,-0.08056424558162689
68.37999725341797,-9.747119903564453,-0.07942799478769302
68.38999938964844,-9.785096168518066,-0.0741472914814949
68.4000015258789,-9.819003105163574,-0.06694579869508743
68.41000366210938,-9.851029396057129,-0.06524495780467987
68.41999816894531,-9.885716438293457,-0.05792779102921486
68.43000030517578,-9.920711517333984,-0.05124513432383537
68.44000244140625,-9.9529447555542,-0.04953666776418686
68.44999694824219,-9.982489585876465,-0.04232234135270119
68.45999908447266,-10.009073257446289,-0.0396137535572052
68.47000122070312,-10.036470413208008,-0.03346385434269905
68.4800033569336,-10.054817199707031,-0.03236297518014908
68.48999786376953,-10.078713417053223,-0.02920817770063877
68.5,-10.097227096557617,-0.02555748075246811
68.51000213623047,-10.109508514404297,-0.022402221336960793
68.5199966430664,-10.117293357849121,-0.01879514567553997
68.52999877929688,-10.129788398742676,-0.017107652500271797
68.54000091552734,-10.142419815063477,-0.011408356949687004
68.55000305175781,-10.151273727416992,-0.007758815307170153
68.55999755859375,-10.15701675415039,-0.00458708917722106
68.56999969482422,-10.161114692687988,-0.000321240077028051
68.58000183105469,-10.165257453918457,0.006484485697001219
68.58999633789062,-10.169570922851562,0.01325820293277502
68.5999984741211,-10.169756889343262,0.019065599888563156
68.61000061035156,-10.171282768249512,0.026444241404533386
68.62000274658203,-10.176891326904297,0.03537743166089058
68.62999725341797,-10.171201705932617,0.04518882930278778
68.63999938964844,-10.168683052062988,0.051101960241794586
68.6500015258789,-10.163503646850586,0.061294056475162506
68.66000366210938,-10.15605640411377,0.06349385529756546
68.66999816894531,-10.152830123901367,0.06847909092903137
68.68000030517578,-10.1467866897583,0.06631267815828323
68.69000244140625,-10.138906478881836,0.06221611425280571
