Time (s),Fᵧ (N),rᵧ (m)
3.2899999618530273,-0.5073844790458679,0.01720000058412552
3.299999952316284,-0.5073844790458679,0.017400000244379044
3.309999942779541,-0.49791836738586426,0.01759999990463257
3.319999933242798,-0.5073844790458679,0.017799999564886093
3.3299999237060547,-0.5073844790458679,0.017999999225139618
3.3399999141693115,-0.5073844790458679,0.018199998885393143
3.3499999046325684,-0.5073844790458679,0.018400000408291817
3.359999895095825,-0.5168505907058716,0.01860000006854534
3.369999885559082,-0.5263167023658752,0.018800001591444016
3.380000114440918,-0.5263167023658752,0.019200000911951065
3.390000104904175,-0.5263167023658752,0.01939999684691429
3.4000000953674316,-0.5263167023658752,0.019599998369812965
3.4100000858306885,-0.5357828140258789,0.01979999803006649
3.4200000762939453,-0.5357828140258789,0.019999999552965164
3.430000066757202,-0.5452489256858826,0.019999999552965164
3.440000057220459,-0.5452489256858826,0.019999999552965164
3.450000047683716,-0.5452489256858826,0.02019999921321869
3.4600000381469727,-0.5452489256858826,0.020399998873472214
3.4700000286102295,-0.5452489256858826,0.02059999853372574
3.4800000190734863,-0.5547150373458862,0.020799998193979263
3.490000009536743,-0.5547150373458862,0.021199999377131462
3.5,-0.5641811490058899,0.021400000900030136
3.509999990463257,-0.5641811490058899,0.02159999869763851
3.5199999809265137,-0.5831133723258972,0.021800000220537186
3.5299999713897705,-0.5736472606658936,0.02199999988079071
3.5399999618530273,-0.5831133723258972,0.022199999541044235
3.549999952316284,-0.5831133723258972,0.02240000106394291
3.559999942779541,-0.5831133723258972,0.022600000724196434
3.569999933242798,-0.5831133723258972,0.023000001907348633
3.5799999237060547,-0.5831133723258972,0.023399999365210533
3.5899999141693115,-0.5925794839859009,0.023600000888109207
3.5999999046325684,-0.5925794839859009,0.023800000548362732
3.609999895095825,-0.5925794839859009,0.024000000208616257
3.619999885559082,-0.6020455956459045,0.024000000208616257
3.630000114440918,-0.6020455956459045,0.02419999986886978
3.640000104904175,-0.6020455956459045,0.024399999529123306
3.6500000953674316,-0.6020455956459045,0.02459999918937683
